FID,district,community,facility,fac_name,type,ownership,functional,lat,long,source,source_geo,dhis2_id,geo_date,comments,x,y
1,Bo,Bum Kaku,Bum Kaku MCHP,Bum Kaku,MCHP,Government,Functional,7.505273,-11.877486,DPPI,GPS,fg1YbsySsK4,2016, ,-11.8774859999789,7.50527299984913
2,Bo,Kasse,Kasse MCHP,Kasse,MCHP,Government,Functional,7.53685,-11.91978,DPPI,GPS,d2vcCqeRJJy,2016, ,-11.9197799997472,7.53685000002753
3,Bo,Mano Yorgbo,Mano Yorgbo MCHP,Mano Yorgbo,MCHP,Government,Functional,7.558374,-11.86909,DPPI,GPS,shJl21cKmEL,2016, ,-11.8690900004032,7.55837399976031
4,Bo,Momajo,Momajo CHP,Momajo,CHP,Government,Functional,7.575193,-11.93802,DPPI,GPS,fRJTlzAV68y,2016, ,-11.938020000023,7.5751930001569
5,Bo,Jimmi,Jimmi CHC,Jimmi,CHC,Government,Functional,7.60609,-11.81584,DPPI,GPS,psVBVk4IYKD,2016, ,-11.815839999916,7.60608999955389
6,Bo,Senehun Ngola,Senehun Ngola MCHP,Senehun Ngola,MCHP,Government,Functional,7.611577,-11.867366,DPPI,GPS,E2mkfTma48l,2021, ,-11.8673660000408,7.61157699987871
7,Bo,Bathurst,Bathurst MCHP,Bathurst,MCHP,Government,Functional,7.6346,-11.6732,WHO,GPS,s5PtR2aCIde,2019, ,-11.6731999996802,7.63460000038975
8,Bo,Kakama,Kakama MCHP,Kakama,MCHP,Government,Functional,7.6356,-11.76005,DPPI,GPS,tq4vd17h83f,2016, ,-11.7600500001074,7.63559999974024
9,Bo,Limba,Limba CHP,Limba,CHP,Government,Functional,7.643087,-11.793313,DPPI,GPS,vlYbStUEfWN,2021, ,-11.793312999795,7.64308699966534
10,Bo,Sumbuya,Sumbuya CHC,Sumbuya,CHC,Government,Functional,7.65243,-11.96412,DPPI,GPS,v4nbdPq3fTm,2016, ,-11.9641200003377,7.65242999974475
11,Bo,Yambama,Yambama CHP,Yambama,CHP,Government,Functional,7.65405,-11.89158,DPPI,GPS,zbJeIizhDXa,2016, ,-11.8915799997172,7.65404999980768
12,Bo,Upper Saama,Upper Saama MCHP,Upper Saama,MCHP,Government,Functional,7.668,-11.86171,DPPI,GPS,rgAyPXkDt72,2016, ,-11.8617100000164,7.66800000009999
13,Bo,Niagorehun Gateway,Niagorehun CHP,Niagorehun,CHP,Government,Functional,7.681798,-11.76828,DPPI,GPS,Rq0YrzABijG,2016, ,-11.7682800001219,7.681797999678
14,Bo,Kaniya,Kaniya MCHP,Kaniya,MCHP,Government,Functional,7.681905,-11.993635,FMFL,GPS,gW4wut7X00m,2015, ,-11.9936349998553,7.68190500011571
15,Bo,Bontiwo,Bontiwo MCHP,Bontiwo,MCHP,Government,Functional,7.682043,-11.81217,DPPI,GPS,E9jgaM4D86H,2016, ,-11.8121699997457,7.68204300018436
16,Bo,Feiba,Feiba CHP,Feiba,CHP,Government,Functional,7.68217,-11.92181,DPPI,GPS,EdB5mJiCPil,2016, ,-11.9218099998316,7.68216999974572
17,Bo,Ngieyehun,Ngieyehun MCHP,Ngieyehun,MCHP,Government,Functional,7.694391,-11.87123,DPPI,GPS,CWlYZ1GzalJ,2016, ,-11.8712300001643,7.69439100034447
18,Bo,Griema Tikonko,Griema MCHP,Griema,MCHP,Government,Functional,7.695663,-11.73574,DPPI,GPS,lin1SziVM3K,2016, ,-11.7357399996013,7.69566299964777
19,Bo,Fanima,Fanima MCHP,Fanima,MCHP,Government,Functional,7.70198,-11.52768,DPPI,GPS,Urtet1JUeKP,2016, ,-11.5276799997321,7.70197999957736
20,Bo,Koribondo,Koribondo CHC,Koribondo,CHC,Government,Functional,7.711308,-11.69365,DPPI,GPS,S0OICCgHsk0,2016, ,-11.6936500002473,7.71130799986435
21,Bo,Mokpendeh,Mokpendeh MCHP,Mokpendeh,MCHP,Government,Functional,7.7128,-11.94917,DPPI,GPS,n0dyKYSTioZ,2016, ,-11.9491699997956,7.71280000031982
22,Bo,Karleh,Karleh MCHP,Karleh,MCHP,Government,Functional,7.718791,-11.84897,DPPI,GPS,eDnijqJ24YY,2016, ,-11.8489699997656,7.71879099960501
23,Bo,Sahn Bumpe,Sahn Bumpe CHP,Sahn Bumpe,CHP,Government,Functional,7.723389,-12.03759,DPPI,GPS,Rtd00y1doNU,2016, ,-12.0375899997786,7.72338900030218
24,Bo,Kpetewoma,Kpetewoma CHP,Kpetewoma,CHP,Government,Functional,7.734725,-11.81521,DPPI,GPS,tCb3YPCB2yI,2016, ,-11.8152099996418,7.73472499965908
25,Bo,Heima,Heima MCHP,Heima,MCHP,Government,Functional,7.7385,-11.9019,WHO,GPS,K7ZHRYI0cLl,2019, ,-11.901899999885,7.73850000017489
26,Bo,Buma,Buma MCHP,Buma,MCHP,Government,Functional,7.739233,-11.97404,DPPI,GPS,rW2vVbBekod,2016, ,-11.9740400000459,7.73923299980316
27,Bo,Mano-Jaiama,Mano-Jaiama CHP,Mano-Jaiama,CHP,Government,Functional,7.749043,-11.61361,DPPI,GPS,Kd6JXhtVSGR,2016, ,-11.6136100000015,7.74904299983461
28,Bo,Mokoba,Mokoba MCHP,Mokoba,MCHP,Government,Functional,7.757949,-11.94804,DPPI,GPS,TTEnjA8GWE7,2016, ,-11.9480399998461,7.75794900044605
29,Bo,Kambawama,Kambawama MCHP,Kambawama,MCHP,Government,Functional,7.762959,-11.474323,FMFL,GPS,K3OvYtcfkgN,2015, ,-11.4743229997066,7.76295900035763
30,Bo,Walihun,Walihun MCHP,Walihun,MCHP,Government,Functional,7.768091,-12.09174,DPPI,GPS,Op4bPQHw8ud,2016, ,-12.0917400004006,7.76809099960002
31,Bo,Bongor,Bongor MCHP,Bongor,MCHP,Government,Functional,7.772621,-11.98698,SARA,GPS,tVNtvDfmxlS,2017, ,-11.9869799996272,7.77262099985933
32,Bo,Sembehun 17,Sembehun 17 CHP,Sembehun 17,CHP,Government,Functional,7.780206,-11.724311,FMFL,GPS,R7pidsMezSX,2015, ,-11.7243109995529,7.78020599980709
33,Bo,Gboyama,Gboyama CHC,Gboyama,CHC,Government,Functional,7.783575,-11.4272,DPPI,GPS,JC3Fok6rZsi,2016, ,-11.4272000002798,7.78357499958662
34,Bo,Serabu,Serabu Mission Hospital,Serabu Mission,HOSPITAL,Faith Based,Functional,7.793959,-12.052095,DPPI,GPS,stvHIALBnUc,2016, ,-12.0520949995845,7.79395900000787
35,Bo,Kassama,Kassama MCHP,Kassama,MCHP,Government,Functional,7.794353,-11.8315,DPPI,GPS,iFWSPgvOnT5,2016, ,-11.831499999925,7.79435300019088
36,Bo,Serabu,Serabu CHC,Serabu,CHC,Government,Functional,7.794467,-12.0515,DPPI,GPS,IhcOrAMCZMP,2016, ,-12.0515000000249,7.79446700005207
37,Bo,Sembehun Tabema,Sembehun Tabema MCHP,Sembehun Tabema,MCHP,Government,Functional,7.797647,-11.86769,DPPI,GPS,xYjGCuLscF5,2016, ,-11.8676899996937,7.79764700010901
38,Bo,Telu,Telu CHC,Telu,CHC,Government,Functional,7.802711,-11.63879,DPPI,GPS,YMTxgvLFyer,2016, ,-11.6387900001583,7.80271099981286
39,Bo,Kpetema Bumpe,Kpetema CHP,Kpetema,CHP,Government,Functional,7.8202,-11.9915,DPPI,GPS,hhpl4y2aYNE,2016, ,-11.9915000003247,7.82019999963035
40,Bo,Yengema,Yengema MCHP,Yengema,MCHP,Government,Functional,7.823759,-12.015263,DPPI,Village Center,MDGqDFsx4WL,2016, ,-12.0152629998875,7.82375900007781
41,Bo,Nianyahun,Nianyahun CHP,Nianyahun,CHP,Government,Functional,7.825822,-11.509363,DPPI,GPS,ZyKtTCEgBtn,2021, ,-11.5093630004021,7.82582199988542
42,Bo,Gbaama,Gbaama MCHP,Gbaama,MCHP,Government,Functional,7.83848,-11.61576,DPPI,GPS,a0jN5mmnDJE,2016, ,-11.6157600002238,7.83847999995209
43,Bo,Mamboma,Mamboma CHP,Mamboma,CHP,Government,Functional,7.84042,-11.66394,SARA,GPS,n8dwF6zMnoW,2017, ,-11.6639399998311,7.84042000038278
